r25,0.9721074380165289
r54,0.9696996466431096
r35,0.9680453793429449
r52,0.9671769346356123
r45,0.9665636042402826
r15,0.9662916250793939
r53,0.9642164972819665
r51,0.9641593321840123
r34,0.9554015230972684
r24,0.955188038060716
r21,0.9542194485842027
r43,0.952437411646678
r14,0.9515252454417953
r13,0.951479068023065
r41,0.9509554698457223
r23,0.9506922516395434
r42,0.9500226551880381
r32,0.9481661403934905
r12,0.9480719076005961
r31,0.9476817776944353
r22,0.5263437228601756
r33,0.5216689493249853
r55,0.5213116253544315
r11,0.5211990278152849
r44,0.5201161698129324
